delivery_id,region,stove_model,quantity,distance_km,delivery_time_days,promised_time_days,on_time,vehicle_type,month,quarter,year,delay_days,is_delayed,revenue
DEL00000,Machakos,EcoZoom,10,74.6,1.7,1.4,True,Lorry,5,2,2025,0.30000000000000004,True,39000
DEL00001,Migori,EcoZoom,10,240.0,6.0,6.0,True,Lorry,2,1,2026,0.0,False,39000
DEL00002,Homa Bay,KuniOx,2,326.6,6.0,6.1,True,Van,2,1,2025,0.0,False,8400
DEL00003,Kiambu,KuniOx,1,35.9,0.8,0.7,True,Van,1,1,2024,0.10000000000000009,True,4200
DEL00004,Meru,Jikokoa,1,207.0,3.5,3.3,True,Van,8,3,2025,0.20000000000000018,True,3500
DEL00005,Homa Bay,MOTO,1,231.8,7.2,5.8,True,Van,4,2,2024,1.4000000000000004,True,2800
DEL00006,Migori,MOTO,10,225.0,4.8,4.4,True,Lorry,9,3,2025,0.39999999999999947,True,28000
DEL00007,Nairobi,Jikokoa,1,10.7,0.2,0.2,True,Van,1,1,2024,0.0,False,3500
DEL00008,Kilifi,EcoZoom,5,504.2,11.3,11.2,True,Van,6,2,2024,0.10000000000000142,True,19500
DEL00009,Kisumu,MOTO,10,328.2,7.0,6.6,True,Lorry,10,4,2025,0.40000000000000036,True,28000
DEL00010,Nakuru,EcoZoom,5,161.5,4.8,4.1,True,Van,12,4,2026,0.7000000000000002,True,19500
DEL00011,Busia,EcoZoom,5,380.7,9.1,9.2,True,Van,9,3,2025,0.0,False,19500
DEL00012,Migori,KuniOx,5,354.8,9.5,7.4,True,Van,3,1,2024,2.0999999999999996,True,21000
DEL00013,Busia,SmartStove,1,330.6,10.6,8.6,True,Van,5,2,2025,2.0,True,4500
DEL00014,Mombasa,SmartStove,5,470.6,10.7,9.9,True,Van,6,2,2025,0.7999999999999989,True,22500
DEL00015,Kitui,MOTO,1,124.5,2.8,2.6,True,Van,8,3,2025,0.19999999999999973,True,2800
DEL00016,Makueni,EcoZoom,1,175.1,3.9,3.4,True,Van,5,2,2025,0.5,True,3900
DEL00017,Homa Bay,EcoZoom,1,338.6,7.6,6.4,True,Van,5,2,2024,1.1999999999999993,True,3900
DEL00018,Kitui,Jikokoa,2,297.1,7.1,6.4,True,Van,10,4,2025,0.6999999999999993,True,7000
DEL00019,Mombasa,Jikokoa,2,518.6,9.2,9.5,True,Van,4,2,2025,0.0,False,7000
DEL00020,Kilifi,MOTO,2,520.3,12.8,11.0,True,Van,5,2,2026,1.8000000000000007,True,5600
DEL00021,Uasin Gishu,KuniOx,1,319.3,6.8,7.0,True,Van,2,1,2025,0.0,False,4200
DEL00022,Migori,EcoZoom,2,360.1,6.8,7.0,True,Van,7,3,2025,0.0,False,7800
DEL00023,Meru,Jikokoa,2,221.3,5.2,4.3,True,Van,5,2,2025,0.9000000000000004,True,7000
DEL00024,Bungoma,SmartStove,1,135.1,3.2,3.3,True,Van,6,2,2024,0.0,False,4500
DEL00025,Migori,KuniOx,1,277.6,8.2,6.4,True,Van,12,4,2025,1.799999999999999,True,4200
DEL00026,Kilifi,MOTO,1,520.8,9.9,10.7,True,Van,6,2,2025,0.0,False,2800
DEL00027,Kilifi,EcoZoom,1,491.6,15.9,13.4,True,Van,3,1,2024,2.5,True,3900
DEL00028,Homa Bay,KuniOx,50,392.3,13.5,13.6,True,Truck,1,1,2025,0.0,False,210000
DEL00029,Migori,EcoZoom,2,149.5,3.6,3.6,True,Van,1,1,2025,0.0,False,7800
DEL00030,Kilifi,Jikokoa,2,550.0,13.3,14.5,True,Van,10,4,2025,0.0,False,7000
DEL00031,Mombasa,Jikokoa,2,497.0,13.3,12.6,True,Van,5,2,2025,0.7000000000000011,True,7000
DEL00032,Nairobi,SmartStove,2,20.5,0.5,0.5,True,Van,7,3,2025,0.0,False,9000
DEL00033,Nairobi,SmartStove,2,24.9,0.6,0.5,True,Van,11,4,2025,0.09999999999999998,True,9000
DEL00034,Uasin Gishu,EcoZoom,1,290.1,6.0,5.7,True,Van,2,1,2024,0.2999999999999998,True,3900
DEL00035,Kilifi,SmartStove,50,485.9,15.6,16.9,True,Truck,10,4,2025,0.0,False,225000
DEL00036,Busia,KuniOx,1,172.7,3.4,3.1,False,Van,9,3,2026,0.2999999999999998,True,4200
DEL00037,Kakamega,KuniOx,2,395.4,9.4,7.7,True,Van,4,2,2025,1.7000000000000002,True,8400
DEL00038,Uasin Gishu,MOTO,1,291.2,7.8,6.1,True,Van,4,2,2026,1.7000000000000002,True,2800
DEL00039,Kisumu,EcoZoom,20,329.4,10.0,8.6,True,Lorry,4,2,2024,1.4000000000000004,True,78000
DEL00040,Kilifi,SmartStove,1,527.9,8.5,7.9,True,Van,8,3,2025,0.5999999999999996,True,4500
DEL00041,Nakuru,Jikokoa,10,144.5,4.0,4.0,True,Lorry,3,1,2026,0.0,False,35000
DEL00042,Bungoma,KuniOx,1,273.2,6.8,5.5,True,Van,5,2,2025,1.2999999999999998,True,4200
DEL00043,Nakuru,MOTO,5,128.4,2.2,2.2,True,Van,10,4,2025,0.0,False,14000
DEL00044,Kilifi,Jikokoa,2,534.0,14.2,12.3,True,Van,11,4,2024,1.8999999999999986,True,7000
DEL00045,Kilifi,KuniOx,5,528.8,9.7,9.9,True,Van,10,4,2024,0.0,False,21000
DEL00046,Nakuru,SmartStove,2,174.6,3.5,3.7,True,Van,10,4,2026,0.0,False,9000
DEL00047,Mombasa,KuniOx,1,474.2,10.1,9.9,True,Van,8,3,2025,0.1999999999999993,True,4200
DEL00048,Migori,MOTO,1,278.6,7.4,6.2,True,Van,3,1,2025,1.2000000000000002,True,2800
DEL00049,Nairobi,SmartStove,1,14.4,0.2,0.3,True,Van,10,4,2024,0.0,False,4500
DEL00050,Busia,KuniOx,5,131.2,2.5,2.5,True,Van,8,3,2024,0.0,False,21000
DEL00051,Makueni,MOTO,2,362.9,9.5,9.2,True,Van,5,2,2024,0.3000000000000007,True,5600
DEL00052,Kiambu,MOTO,2,24.4,0.6,0.7,True,Van,1,1,2025,0.0,False,5600
DEL00053,Nairobi,Jikokoa,1,18.5,0.4,0.4,True,Van,1,1,2025,0.0,False,3500
